"C14Age","C14SD",
1695.0,55.0,
117.0,32.0,
264.0,37.0,
158.0,32.0,
201.0,33.0,
206.0,34.0,
49532.0,3907.0,
30.0,50.0,
10.0,60.0,
95.0,45.0,
3100.0,60.0,
5320.0,100.0,
467.0,30.0,
4180.0,60.0,
2990.0,60.0,
170.0,60.0,
5620.0,70.0,
3020.0,60.0,
3040.0,70.0,
4805.0,50.0,
2145.0,50.0,
2570.0,50.0,
102.0,47.0,
3200.0,50.0,
170.0,45.0,
180.0,35.0,
115.0,40.0,
1045.0,40.0,
265.0,45.0,
280.0,45.0,
260.0,45.0,
150.0,30.0,
224.0,48.0,
215.0,40.0,
5180.0,50.0,
5950.0,40.0,
3840.0,40.0,
8450.0,50.0,
100.0,30.0,
1775.0,35.0,
1490.0,30.0,
1425.0,30.0,
1835.0,30.0,
740.0,30.0,
1780.0,30.0,
1810.0,30.0,
2445.0,35.0,
2885.0,30.0,
6848.0,52.0,
3428.0,46.0,
4525.0,35.0,
2934.0,60.0,
431.0,47.0,
6015.0,60.0,
4427.0,52.0,
3880.0,30.0,
1015.0,35.0,
2589.0,40.0,
126.0,38.0,
237.0,40.0,
123.0,40.0,
1675.0,30.0,
4370.0,50.0,
4935.0,35.0,
350.0,30.0,
5760.0,40.0,
855.0,30.0,
4640.0,35.0,
110.0,30.0,
2040.0,30.0,
135.0,30.0,
180.0,30.0,
60.0,30.0,
70.0,30.0,
775.0,30.0,
2700.0,35.0,
2195.0,30.0,
4355.0,35.0,
6150.0,40.0,
2910.0,30.0,
2645.0,30.0,
6215.0,40.0,
165.0,30.0,
34300.0,700.0,
4010.0,25.0,
2730.0,25.0,
4030.0,25.0,
2490.0,25.0,
5320.0,25.0,
4870.0,30.0,
900.0,25.0,
1140.0,25.0,
2180.0,25.0,
3790.0,30.0,
2170.0,25.0,
1670.0,25.0,
4850.0,25.0,
3820.0,30.0,
1830.0,440.0,
710.0,500.0,
1540.0,470.0,
85.0,30.0,
2510.0,30.0,
1215.0,30.0,
4225.0,50.0,
970.0,30.0,
1000.0,30.0,
1750.0,30.0,
5400.0,35.0,
4155.0,35.0,
3010.0,30.0,
2190.0,35.0,
2525.0,35.0,
870.0,30.0,
3300.0,30.0,
3940.0,35.0,
2560.0,30.0,
3865.0,30.0,
350.0,30.0,
380.0,40.0,
355.0,50.0,
380.0,30.0,
3575.0,30.0,
1670.0,30.0,
3225.0,30.0,
4150.0,30.0,
110.0,30.0,
155.0,30.0,
860.0,30.0,
365.0,30.0,
255.0,30.0,
2700.0,30.0,
1205.0,30.0,
3865.0,30.0,
1130.0,30.0,
905.0,30.0,
915.0,30.0,
2515.0,30.0,
325.0,30.0,
2740.0,30.0,
3085.0,30.0,
2455.0,35.0,
2450.0,50.0,
2910.0,30.0,
4775.0,30.0,
365.0,30.0,
2025.0,30.0,
2045.0,30.0,
2115.0,30.0,
2120.0,30.0,
1790.0,30.0,
3995.0,35.0,
1785.0,30.0,
105.0,35.0,
3745.0,35.0,
340.0,30.0,
420.0,30.0,
3305.0,35.0,
600.0,30.0,
3355.0,35.0,
3430.0,30.0,
3335.0,35.0,
3430.0,30.0,
875.0,30.0,
3400.0,40.0,
350.0,30.0,
1820.0,30.0,
3560.0,35.0,
3435.0,35.0,
389.0,16.0,
1770.0,59.0,
4129.0,21.0,
2821.0,21.0,
1208.0,18.0,
309.0,14.0,
120.0,30.0,
225.0,30.0,
249.0,26.0,
65.0,150.0,
60.0,115.0,
55.0,65.0,
20.0,130.0,
0.0,115.0,
115.0,120.0,
1080.0,130.0,
1900.0,140.0,
750.0,35.0,
480.0,30.0,
494.0,16.0,
851.0,85.0,
525.0,30.0,
1725.0,30.0,
1085.0,35.0,
1690.0,35.0,
1126.0,15.0,
426.0,40.0,
7620.0,31.0,
600.0,15.0,
1160.0,30.0,
390.0,30.0,
2385.0,35.0,
3329.0,23.0,
3755.0,20.0,
3692.0,20.0,
333.0,18.0,
1115.0,35.0,
2340.0,35.0,
1162.0,26.0,
1155.0,14.0,
915.0,40.0,
705.0,55.0,
1930.0,55.0,
2270.0,55.0,
480.0,50.0,
2295.0,60.0,
2325.0,60.0,
